application_id,customer_id,lender_id,loan_amount,approved_amount,interest_rate,loan_tenure_months,loan_purpose,application_date,approval_date,loan_status,rejection_reason,loan_channel,processing_fee,emi_amount,disbursement_date
APP10001,CUST10729,LEN1018,790000.0,,,24,Home Renovation,2025-08-22,,Pending,,Direct Telecall,,,
APP10002,CUST11354,LEN1013,215000.0,175000.0,10.96,36,Debt Consolidation,2024-03-16,2024-03-21,Approved,,Mobile App,4200.0,5725.96,2024-03-22
APP10003,CUST10798,LEN1011,155000.0,,,6,Personal Expenses,2025-03-31,,Pending,,Website,,,
APP10004,CUST10738,LEN1009,210000.0,190000.0,18.85,6,Home Renovation,2025-04-04,2025-04-04,Approved,,DSA / Partner,3420.0,33430.28,2025-04-04
APP10005,CUST10184,LEN1012,435000.0,375000.0,14.72,36,Business Expansion,2024-01-13,2024-01-13,Approved,,DSA / Partner,9375.0,12948.14,2024-01-14
APP10006,CUST11172,LEN1017,135000.0,115000.0,29.01,24,Home Renovation,2024-10-02,2024-10-02,Approved,,Mobile App,2415.0,6371.52,2024-10-03
APP10007,CUST10891,LEN1009,315000.0,310000.0,19.77,24,Medical Emergency,2024-09-14,2024-09-17,Approved,,Website,5580.0,15742.89,2024-09-18
APP10008,CUST10938,LEN1004,295000.0,260000.0,16.1,6,Vehicle Purchase,2025-09-27,2025-09-30,Approved,,Website,4550.0,45390.79,2025-10-02
APP10009,CUST10882,LEN1020,155000.0,,,18,Education,2024-11-17,,Pending,,DSA / Partner,,,
APP10010,CUST10364,LEN1013,335000.0,290000.0,17.83,18,Wedding,2024-09-05,2024-09-08,Approved,,Branch,6960.0,18480.18,2024-09-10
APP10011,CUST10234,LEN1019,245000.0,195000.0,15.71,36,Home Renovation,2025-07-17,2025-07-22,Approved,,Direct Telecall,5850.0,6827.74,2025-07-23
APP10012,CUST10898,LEN1010,900000.0,,,6,Vehicle Purchase,2025-05-26,,Rejected,High Debt-to-Income Ratio,Direct Telecall,,,
APP10013,CUST11298,LEN1010,380000.0,,,48,Home Renovation,2025-03-09,,Pending,,Direct Telecall,,,
APP10014,CUST10773,LEN1003,370000.0,335000.0,25.63,36,Wedding,2025-02-14,2025-02-19,Approved,,Branch,5025.0,13431.42,2025-02-22
APP10015,CUST11114,LEN1002,625000.0,580000.0,22.84,18,Medical Emergency,2024-09-11,2024-09-16,Approved,,Mobile App,11600.0,38359.19,2024-09-16
APP10016,CUST11154,LEN1013,500000.0,,,18,Vehicle Purchase,2024-01-11,,Rejected,Low Credit Score,Mobile App,,,
APP10017,CUST10530,LEN1008,425000.0,375000.0,24.88,36,Education,2025-01-18,2025-01-22,Approved,,DSA / Partner,7500.0,14886.15,2025-01-23
APP10018,CUST10707,LEN1001,450000.0,,,18,Vehicle Purchase,2024-04-28,,Rejected,Incomplete Documentation,Mobile App,,,
APP10019,CUST10291,LEN1012,565000.0,490000.0,13.88,24,Education,2025-05-09,2025-05-14,Approved,,Branch,12250.0,23498.54,2025-05-17
APP10020,CUST10654,LEN1003,375000.0,350000.0,15.56,60,Medical Emergency,2024-12-17,2024-12-18,Approved,,Mobile App,5250.0,8429.71,2024-12-19
APP10021,CUST11057,LEN1006,375000.0,360000.0,12.39,18,Vehicle Purchase,2024-08-25,2024-08-26,Approved,,DSA / Partner,10800.0,22018.81,2024-08-29
APP10022,CUST10811,LEN1001,340000.0,,,12,Wedding,2025-03-15,,Rejected,Insufficient Monthly Income,Branch,,,
APP10023,CUST10010,LEN1007,610000.0,585000.0,23.73,60,Medical Emergency,2024-04-14,2024-04-16,Approved,,Branch,16087.5,16737.7,2024-04-18
APP10024,CUST10404,LEN1015,85000.0,,,48,Wedding,2025-10-16,,Rejected,KYC Verification Failed,Branch,,,
APP10025,CUST11223,LEN1013,265000.0,255000.0,12.35,36,Medical Emergency,2024-12-26,2024-12-31,Approved,,Website,6120.0,8512.34,2025-01-02
APP10026,CUST11259,LEN1019,125000.0,110000.0,22.0,12,Business Expansion,2024-09-01,2024-09-06,Approved,,Mobile App,3300.0,10295.38,2024-09-07
APP10027,CUST11047,LEN1013,165000.0,150000.0,18.96,12,Vehicle Purchase,2024-07-09,2024-07-14,Approved,,DSA / Partner,3600.0,13820.62,2024-07-15
APP10028,CUST11137,LEN1006,245000.0,225000.0,16.11,12,Home Renovation,2025-04-06,2025-04-06,Approved,,Website,6750.0,20426.16,2025-04-09
APP10029,CUST10280,LEN1007,630000.0,,,36,Wedding,2025-12-02,,Pending,,DSA / Partner,,,
APP10030,CUST11008,LEN1014,725000.0,660000.0,15.91,24,Wedding,2024-03-25,2024-03-26,Approved,,Mobile App,12540.0,32287.28,2024-03-28
APP10031,CUST10067,LEN1009,385000.0,365000.0,15.82,18,Home Renovation,2025-08-02,2025-08-06,Approved,,DSA / Partner,6570.0,22911.56,2025-08-06
