repayment_id,application_id,emi_number,due_date,payment_date,amount_due,amount_paid,payment_status,late_fee,days_overdue,payment_mode,remarks
REP100001,APP11959,1,2025-10-14,2025-10-14,4390.03,4390.03,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100002,APP10768,1,2025-07-20,2025-07-20,5849.13,5849.13,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100003,APP12061,1,2025-01-07,2025-01-06,12877.64,12877.64,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100004,APP11818,1,2024-12-23,2024-12-18,29620.1,29620.1,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100005,APP10673,1,2024-08-26,2024-08-25,22581.2,22581.2,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100006,APP11735,1,2024-09-11,2024-09-11,10993.14,10993.14,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100007,APP11687,1,2024-08-10,2024-08-08,5018.54,5018.54,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100008,APP10865,1,2025-11-25,2025-11-26,18227.22,18777.22,Paid Late,550.0,1,Net Banking,Payment delayed by 1 days. Late fee penalty assessed.
REP100009,APP12137,1,2024-03-18,2024-03-15,6237.99,6237.99,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100010,APP10664,1,2024-10-12,,30061.33,0.0,Missed,3400.0,58,,EMI overdue by 58 days. No payment received.
REP100011,APP10336,1,2024-06-22,2024-06-17,23752.54,23752.54,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100012,APP12549,1,2024-12-22,2024-12-19,11523.69,11523.69,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100013,APP12218,1,2025-04-11,2025-04-06,21184.53,21184.53,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100014,APP10265,1,2025-02-26,2025-02-26,27482.2,27482.2,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100015,APP12663,1,2025-03-13,2025-04-19,52627.36,54977.36,Paid Late,2350.0,37,Net Banking,Payment delayed by 37 days. Late fee penalty assessed.
REP100016,APP12153,1,2025-11-15,2025-11-15,11307.58,11307.58,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100017,APP12344,1,2024-11-11,2024-11-06,22026.08,22026.08,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100018,APP12601,1,2025-07-11,2025-07-08,3240.41,3240.41,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100019,APP11948,1,2025-03-21,2025-04-01,4305.91,5355.91,Paid Late,1050.0,11,NACH Auto-Debit,Payment delayed by 11 days. Late fee penalty assessed.
REP100020,APP11100,1,2024-06-21,2024-06-18,7599.55,7599.55,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100021,APP12811,1,2024-05-11,2024-05-06,9015.8,9015.8,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100022,APP11947,1,2024-03-29,2024-03-29,22067.6,22067.6,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100023,APP10517,1,2025-10-25,2025-10-22,3008.67,3008.67,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100024,APP12100,1,2025-07-09,2025-07-09,5953.25,5953.25,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100025,APP12540,1,2025-12-22,2025-12-17,24769.59,24769.59,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100026,APP12478,1,2024-03-05,2024-03-02,3534.74,3534.74,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100027,APP10830,1,2025-08-14,2025-08-13,3282.33,3282.33,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100028,APP10976,1,2025-06-04,2025-06-02,15101.54,15101.54,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100029,APP12660,1,2024-05-08,2024-06-07,29652.34,31652.34,Paid Late,2000.0,30,Net Banking,Payment delayed by 30 days. Late fee penalty assessed.
REP100030,APP10824,1,2024-07-04,2024-07-04,12194.4,12194.4,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100031,APP11671,1,2025-11-14,2025-11-13,16762.55,16762.55,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100032,APP12699,1,2025-08-19,2025-08-16,51110.66,51110.66,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100033,APP10437,1,2024-05-18,2024-05-13,6524.09,6524.09,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100034,APP12586,1,2025-02-28,2025-02-28,7786.84,7786.84,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100035,APP12395,1,2024-02-11,2024-02-10,20998.8,20998.8,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100036,APP11197,1,2025-02-25,2025-02-23,21223.26,21223.26,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100037,APP10787,1,2025-12-30,2026-02-28,36835.74,28408.29,Partially Paid,2100.0,60,Wallet,Partial payment of ₹28408.29 received against due amount ₹36835.74.
REP100038,APP12194,1,2025-08-08,2025-08-07,13287.63,13287.63,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100039,APP12330,1,2024-11-30,2024-11-25,51816.17,51816.17,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100040,APP11345,1,2024-02-28,2024-02-23,33477.69,33477.69,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100041,APP12632,1,2024-12-23,2024-12-22,22029.47,22029.47,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100042,APP11578,1,2024-10-04,2024-11-14,2606.99,5156.99,Paid Late,2550.0,41,NACH Auto-Debit,Payment delayed by 41 days. Late fee penalty assessed.
REP100043,APP12537,1,2024-07-09,2024-07-08,27665.0,27665.0,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100044,APP10481,1,2025-09-23,2025-09-19,67782.27,67782.27,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100045,APP12868,1,2025-09-13,2025-09-12,6899.53,6899.53,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100046,APP11847,1,2025-11-13,2025-11-08,3864.85,3864.85,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100047,APP12785,1,2024-07-24,2024-07-21,2429.69,2429.69,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100048,APP10183,1,2025-11-30,2025-11-29,7135.6,7135.6,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100049,APP10284,1,2025-12-19,2025-12-14,4995.91,4995.91,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100050,APP12321,1,2024-10-19,2024-10-19,11539.89,11539.89,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100051,APP12848,1,2024-05-02,2024-04-29,14225.94,14225.94,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100052,APP12621,1,2024-06-29,2024-06-25,22074.2,22074.2,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100053,APP12291,1,2025-10-28,2025-10-24,15855.77,15855.77,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100054,APP10968,1,2025-06-04,2025-06-04,1754.39,1754.39,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100055,APP11158,1,2025-05-05,2025-05-04,3084.47,3084.47,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100056,APP10386,1,2025-02-14,2025-02-09,50245.16,50245.16,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100057,APP10061,1,2024-06-04,2024-05-31,7041.67,7041.67,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100058,APP10683,1,2024-07-27,2024-07-27,15087.43,15087.43,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100059,APP10185,1,2025-11-14,2025-11-09,7086.6,7086.6,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100060,APP10232,1,2024-08-11,2024-08-08,6306.55,6306.55,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100061,APP11500,1,2024-09-25,2024-09-21,18110.26,18110.26,Paid On Time,0.0,0,Wallet,Regular monthly EMI paid on time.
REP100062,APP12806,1,2024-11-23,2024-12-30,19363.37,21713.37,Paid Late,2350.0,37,Debit Card,Payment delayed by 37 days. Late fee penalty assessed.
REP100063,APP10760,1,2024-06-28,2024-07-25,14949.65,16799.65,Paid Late,1850.0,27,Net Banking,Payment delayed by 27 days. Late fee penalty assessed.
REP100064,APP10312,1,2025-07-06,2025-07-04,14554.47,14554.47,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100065,APP11310,1,2024-02-25,2024-02-25,32191.39,32191.39,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100066,APP12053,1,2025-01-07,2025-01-07,28925.51,28925.51,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100067,APP10190,1,2025-12-14,2025-12-11,6534.78,6534.78,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100068,APP10779,1,2024-02-14,2024-02-13,2295.23,2295.23,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100069,APP10442,1,2025-05-17,2025-05-14,11244.42,11244.42,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100070,APP10783,1,2024-06-10,2024-06-15,3330.99,4080.99,Paid Late,750.0,5,Debit Card,Payment delayed by 5 days. Late fee penalty assessed.
REP100071,APP12437,1,2025-07-24,2025-08-29,10829.66,13129.66,Paid Late,2300.0,36,UPI,Payment delayed by 36 days. Late fee penalty assessed.
REP100072,APP10156,1,2024-06-25,2024-06-24,6741.7,6741.7,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100073,APP12921,1,2024-04-21,2024-04-17,21292.62,21292.62,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100074,APP11259,1,2025-04-18,2025-04-14,22834.49,22834.49,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100075,APP12709,1,2024-04-20,2024-04-18,12421.47,12421.47,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100076,APP12965,1,2025-06-09,2025-06-07,11440.27,11440.27,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100077,APP11309,1,2025-10-16,2025-10-16,4604.34,4604.34,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100078,APP12024,1,2025-06-07,2025-06-03,12360.33,12360.33,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100079,APP10918,1,2025-06-08,2025-06-03,12713.04,12713.04,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100080,APP12237,1,2025-01-05,2025-01-05,3851.65,3851.65,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100081,APP10182,1,2024-12-03,2024-12-01,42969.59,42969.59,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100082,APP12755,1,2024-03-04,2024-03-15,12432.44,13482.44,Paid Late,1050.0,11,UPI,Payment delayed by 11 days. Late fee penalty assessed.
REP100083,APP12893,1,2025-08-03,2025-07-30,69316.14,69316.14,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
REP100084,APP11833,1,2024-12-03,2024-11-29,13537.07,13537.07,Paid On Time,0.0,0,Debit Card,Regular monthly EMI paid on time.
REP100085,APP10383,1,2025-11-22,,13020.32,0.0,Missed,4850.0,87,,EMI overdue by 87 days. No payment received.
REP100086,APP10774,1,2024-09-10,2024-09-05,35265.18,35265.18,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100087,APP10274,1,2024-12-13,2024-12-12,4313.6,4313.6,Paid On Time,0.0,0,Credit Card,Regular monthly EMI paid on time.
REP100088,APP11624,1,2025-10-13,2025-10-10,59927.68,59927.68,Paid On Time,0.0,0,Net Banking,Regular monthly EMI paid on time.
REP100089,APP12042,1,2025-03-11,2025-03-07,5107.38,5107.38,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100090,APP11233,1,2025-10-13,2025-10-13,11999.47,11999.47,Paid On Time,0.0,0,NACH Auto-Debit,Regular monthly EMI paid on time.
REP100091,APP11417,1,2024-12-01,2024-11-26,32721.93,32721.93,Paid On Time,0.0,0,UPI,Regular monthly EMI paid on time.
